 5.11581371  5.11581371  5.11581371 90.         90.         90.        
C  4.41402407 0.         2.55790685
C  0.70178964 0.         2.55790685
C  2.55790685 4.41402407 0.        
C  2.55790685 0.70178964 0.        
C  0.         2.55790685 4.41402407
C  0.         2.55790685 0.70178964
C  -1.85604302  0.          2.55790685
C  1.85604302 0.         2.55790685
C   2.55790685 -1.85604302  0.        
C  2.55790685 1.85604302 0.        
C   0.          2.55790685 -1.85604302
C  0.         2.55790685 1.85604302
-76.12221569
48 bands 
kx ky kz  bandenergy1 bandenergy2 bandenergy3 bandenergy4 bandenergy5 bandenergy6 bandenergy7 bandenergy8 bandenergy9 bandenergy10 bandenergy11 bandenergy12 bandenergy13 bandenergy14 bandenergy15 bandenergy16 bandenergy17 bandenergy18 bandenergy19 bandenergy20 bandenergy21 bandenergy22 bandenergy23 bandenergy24 bandenergy25 bandenergy26 bandenergy27 bandenergy28 bandenergy29 bandenergy30 bandenergy31 bandenergy32 bandenergy33 bandenergy34 bandenergy35 bandenergy36 bandenergy37 bandenergy38 bandenergy39 bandenergy40 bandenergy41 bandenergy42 bandenergy43 bandenergy44 bandenergy45 bandenergy46 bandenergy47 bandenergy48
0.0 0.0 0.0 -13.968599985333874 -12.712461370589379 -12.712461370589372 -10.931816830124545 -10.931816830124543 -10.93181683012415 -9.174247224668479 -9.174247224668457 -8.444912731207824 -5.65787795664666 -5.506655083796898 -5.506655083796882 -3.5455477951682033 -3.5455477951682024 -3.5455477951681034 -0.8465805786567466 -0.8465805786567465 -0.8465805786567463 1.4350776586780007 1.4350776586780143 1.4350776586780436 2.4143390219543956 2.4143390219544276 2.414339021954449 3.7559212405538838 3.7559212405540316 3.755921240554038 6.19261003903699 6.192610039036993 6.192610039037025 8.983097228215062 9.833198838687874 11.494373145650062 11.494373145650075 11.494373145656366 13.733060563521644 13.733060563521704 13.733066402021683 14.53066295579625 14.530662955831096 14.530662955846902 14.866898677353113 14.866898677353134 14.86689867735316 16.588334493161497 16.58833449316182 19.28545613075882 19.28545613075894 
0.0 0.0625 0.0 -13.958109534447651 -12.726113149469995 -12.701818325115362 -10.973208771063666 -10.932041631187168 -10.93204162021046 -9.17225950106974 -9.135228478118218 -8.435759673933703 -5.669541410467598 -5.522498915159267 -5.511288309394029 -3.537668461905682 -3.537666760170742 -3.5075141180033804 -0.8659538096571933 -0.8534055317670491 -0.8533964624975505 1.4166897251992052 1.4167036462677223 1.443261596872604 2.2893155692951357 2.289318738966265 2.40216019550498 3.761322048145319 3.9183147109731453 3.918328262252475 6.140007051032388 6.2341919604858385 6.234194170913311 9.02065437097871 9.873328880754457 11.493147460781598 11.493167318243053 11.524650822854255 13.675588426015583 13.675636958611161 13.691675341251392 14.47015018132838 14.47018944408527 14.535890433116524 14.824291381369862 14.824314532204701 14.864608586356752 16.55414073152009 16.64332120210028 19.045539108290342 19.045585544740238 
0.0 0.125 0.0 -13.927292719481901 -12.76646070630497 -12.671425568250308 -11.090117388917893 -10.92995295337152 -10.929952886505276 -9.165738633284928 -9.044309396587748 -8.393168198478092 -5.710908159264974 -5.557297536830698 -5.520930669981469 -3.513839579781875 -3.5138327881769964 -3.4032118447373674 -0.926192954014054 -0.8705889986314062 -0.8705532454391695 1.3324881632597065 1.3325531097735848 1.4665149319831703 2.0764026676680216 2.076413903043083 2.3690355665181 3.7773825643862042 4.264820008167209 4.264858928530199 5.997948970297565 6.3717109397865705 6.371717663471511 9.131454697782438 9.99081791057516 11.487316029254341 11.487395902540564 11.613028001513376 13.533728963655927 13.533904203465216 13.569543918802339 14.186019922977618 14.186105128652851 14.550403274967248 14.796169559513249 14.796205722573417 14.858477018047585 16.443414462924952 16.791126563065195 18.630986171271573 18.631278951719707 
0.0 0.1875 0.0 -13.876747929913 -12.831213434023462 -12.621359531746704 -11.248423006388288 -10.927005473184296 -10.927005352964072 -9.154684381169092 -8.961116845579703 -8.283958778576682 -5.809524135468622 -5.578786684317136 -5.531027472983897 -3.477423635699503 -3.477408078041972 -3.2420511350583006 -1.0239977583227144 -0.8925952205306892 -0.8925136763953518 1.1299294955642332 1.1300730909064172 1.5092454776413478 1.9611922402729445 1.9612352413864806 2.3212272891549435 3.8109651066395633 4.629511734068265 4.629570646227665 5.7818554990820425 6.635582174310446 6.635587907448461 9.31005872459223 10.174262672877594 11.475783650848038 11.475961058990292 11.753253892807946 13.35141026825465 13.35176811726629 13.383682498046307 13.681665768535263 13.681789114808128 14.571071490884318 14.801339105819446 14.801366792611649 14.84637433142074 16.25026796215093 16.92503363175153 18.38279388804645 18.383170249291638 
0.0 0.25 0.0 -13.807651716275943 -12.918150413901193 -12.552238526472578 -11.426687537331029 -10.925254057908816 -10.925253854749648 -9.139568678792406 -8.926908105324312 -8.091428752829152 -5.968715561312482 -5.586198553388637 -5.543145960557054 -3.4352301926449793 -3.435203330985739 -3.0357890654629367 -1.1657036264576988 -0.9101357711602157 -0.9099894016511896 0.8487866423749357 0.8490070755391229 1.5646722086262437 1.9505110094790834 1.9505728341574997 2.254524189604187 3.864340012365222 4.927517622115203 4.927584546142401 5.518237390008441 7.044077200726382 7.044086731066464 9.54721976496938 10.40209148807597 11.457261460523565 11.457566294681099 11.933349905037378 12.984467268513146 12.984500109206646 13.147842859290467 13.206262674090173 13.206630183253976 14.599775027560263 14.808888113321338 14.808906109162228 14.830400621915318 15.98260151805513 16.589148933712472 18.230633963344072 18.230686500276345 
0.0 0.3125 0.0 -13.721754176923005 -13.021796498176437 -12.465099774355775 -11.606223924130145 -10.923624836679553 -10.92362457904914 -9.119586238061682 -8.933578192713355 -7.836723249952657 -6.174789029283902 -5.591279548640045 -5.553725417932191 -3.391339431309163 -3.3912996088868224 -2.7941210406557166 -1.3345290193919426 -0.9193816551473876 -0.9191496019368494 0.5676283599441608 0.5679319904549792 1.6321104821876544 1.978311413110991 1.9783826354687284 2.173798867220515 3.9433651909347938 5.136655872368584 5.136719617205969 5.230292037979122 7.594957018161032 7.595002857191279 9.829618464879385 10.637753670475528 11.429250900650825 11.429689283348068 12.133041921189703 12.251583786931775 12.251707187722852 12.906380343949733 13.04018004215099 13.040851211613553 14.632153190376266 14.803577954753331 14.803586207308161 14.817420218338892 15.672509993219006 16.012644333924236 18.228624675869746 18.228787895528594 
0.0 0.375 0.0 -13.620731402380072 -13.138447407785272 -12.359399561791161 -11.781957334838191 -10.922245813274648 -10.922245515357096 -9.094336728267518 -8.9606271831591 -7.554039686836012 -6.408647503189246 -5.589548373819154 -5.563074918466744 -3.3516333296302943 -3.35158087520757 -2.5367315487843833 -1.5321306588030912 -0.915286744838605 -0.9149526844541732 0.33272458837025154 0.3331223450958131 1.71237824440465 2.015595687983614 2.0156718744057045 2.0855808486610474 4.062029508924819 4.9389933027852235 5.269958282848571 5.270015292907731 8.247786738843528 8.247901135861163 10.139155672405634 10.81488098037169 11.315734190014869 11.316100514071609 11.556263359730508 11.556668790028212 12.32796859701994 12.692833346192112 12.925038056094825 12.925893490932125 14.666826625503703 14.795817306608711 14.799039159413406 14.799040301451944 15.366481760027913 15.516742337294732 18.224593948874617 18.22466134867876 
0.0 0.4375 0.0 -13.507959850303104 -13.262161595467845 -12.23685233566579 -11.947368230539889 -10.91838961332135 -10.918389291463358 -9.063775784333558 -8.995211629495465 -7.259996505233594 -6.674926478915826 -5.586405621052937 -5.571613667843349 -3.32454157594449 -3.324479875464586 -2.271030947908913 -1.7609824145193258 -0.9019801048911581 -0.9015501885085123 0.17460331344769564 0.17508995658800605 1.8035429448236722 1.9927512032364114 2.040388009105982 2.040467123246586 4.22230331897246 4.666880908323607 5.345631015212785 5.345682969777787 8.956211272104266 8.956495259562626 10.447547936663108 10.634941408193146 10.635294181953972 10.849532501379297 11.42974738560078 11.430425849700551 12.470533497969338 12.573516868867591 12.861559876874828 12.862532054929936 14.700605402608078 14.768194920784794 14.791299666009815 14.791308545317927 15.129836753525394 15.174741667956484 18.20770785876125 18.2077777570766 
0.0 0.5 0.0 -13.387160443728357 -13.387110884073131 -12.100131894293652 -12.099761452960848 -10.918856854614 -10.918856533434385 -9.03120336960858 -9.031160998118072 -6.962077680044842 -6.961325199851908 -5.578084064963887 -5.578037975901543 -3.3152665933302914 -3.315201491158633 -2.0098402216939806 -2.0097653497967602 -0.896060646717053 -0.8955869610018419 0.11533449101881046 0.11586208320594513 1.8969285559803153 1.8969287238060943 2.049154683504825 2.0492349472881113 4.423013725298603 4.423074445082932 5.369349627946412 5.369398973028225 9.503342272682621 9.504291613115875 10.068659050926598 10.069674570862817 10.707742796023872 10.707956165500063 11.417221996262318 11.417935918049084 12.53214604740184 12.534162224497969 12.838027262912956 12.839041590683827 14.738075493017309 14.738117831986397 14.788529751150627 14.788541173995851 15.044387308375283 15.045249327374263 18.19666255810864 18.196734363913656 
0.0625 0.5 0.0 -13.38012668561645 -13.376684195575141 -12.108725413810028 -12.102863224749003 -10.966954549143448 -10.91880926450987 -9.03415052540749 -8.969661284317713 -6.96562983956204 -6.962806211021379 -5.607662883488924 -5.579851886178312 -3.299964137127931 -3.2831723148448595 -2.0264749361755254 -1.9930588296741918 -0.907884866310318 -0.8804767099539269 0.07288031500005807 0.09801716873060297 1.7862607276930855 1.91438859576337 1.9223533863745417 2.1427569218853786 4.429881878438332 4.5656325996395974 5.3651531896783595 5.466332162138471 9.480940807756811 9.507999923162265 10.039678910235258 10.066725236029209 10.74759071038908 10.750542771916372 11.418411502644044 11.44232797517932 12.439048879320941 12.555249881122041 12.803860716775446 12.921565268766516 14.601503548043025 14.63486097525094 14.737810443264129 14.797683254076416 15.03576585067344 15.067793166783913 17.98575563463587 18.045073537057615 
