 4.37588567  4.37588567  4.37588567 90.         90.         90.        
C   1.09397142  1.67612237 -3.8640652 
C   3.28191425 -1.67612237 -3.8640652 
C  3.28191425 1.67612237 3.8640652 
C   1.09397142 -1.67612237  3.8640652 
C  -3.8640652   1.09397142  1.67612237
C  -3.8640652   3.28191425 -1.67612237
C  3.8640652  3.28191425 1.67612237
C   3.8640652   1.09397142 -1.67612237
C   1.67612237 -3.8640652   1.09397142
C  -1.67612237 -3.8640652   3.28191425
C  1.67612237 3.8640652  3.28191425
C  -1.67612237  3.8640652   1.09397142
-94.33969204
48 bands 
kx ky kz  bandenergy1 bandenergy2 bandenergy3 bandenergy4 bandenergy5 bandenergy6 bandenergy7 bandenergy8 bandenergy9 bandenergy10 bandenergy11 bandenergy12 bandenergy13 bandenergy14 bandenergy15 bandenergy16 bandenergy17 bandenergy18 bandenergy19 bandenergy20 bandenergy21 bandenergy22 bandenergy23 bandenergy24 bandenergy25 bandenergy26 bandenergy27 bandenergy28 bandenergy29 bandenergy30 bandenergy31 bandenergy32 bandenergy33 bandenergy34 bandenergy35 bandenergy36 bandenergy37 bandenergy38 bandenergy39 bandenergy40 bandenergy41 bandenergy42 bandenergy43 bandenergy44 bandenergy45 bandenergy46 bandenergy47 bandenergy48
0.0 0.0 0.0 -11.89226120593555 -8.950917840921024 -8.950917709043933 -8.95091765349009 -5.754732829134356 -5.75473229673596 -2.390284832945205 -1.957486124281618 -1.9574860337378983 -1.9574860247806314 0.8159077913245549 1.2586775329129227 1.258678987970337 2.430847299068216 2.430847374974524 2.430847481196668 4.089140236251425 4.0891404224647765 4.089140748636712 5.045520725311932 5.045523004110297 5.045523477260745 9.422335569991592 9.422335747474948 9.422336172338664 12.264820508156857 12.264821730924188 13.924956201905825 14.033163178769545 14.033167222127375 14.033167702444192 15.953445057770702 17.42221488850097 17.422214904601194 17.422215565352825 18.118137614304377 18.11813770668432 18.118137972890967 20.31004581138103 20.31004598757487 20.310049515763122 22.29908718917256 22.29908791570356 23.72847114109612 23.72851223115156 23.728514399144803 24.98545426583388 26.39092803335542 
0.0 0.0625 0.0 -11.874238294696813 -9.005707216309458 -8.953028428097598 -8.94546373142819 -5.7348791827941 -5.7041969379412105 -2.415575343269752 -2.1152803128072155 -2.04090264365946 -1.8035626850750892 0.7927049521785888 1.2156694594756638 1.2882534257320533 2.060866104087511 2.5749468752772806 2.7138953323297295 4.105452115256462 4.144586487782895 4.197618930063745 5.012907551505123 5.032223487618588 5.03526471479051 9.339524276825632 9.411915473913158 9.49990877730371 12.088353740587966 12.264027253502789 13.883416566165232 14.038612845189688 14.070694568712506 14.145874785483441 16.016242301110612 17.33676159390221 17.392236552335902 17.470460154574635 18.00559888055862 18.06102266755278 18.188560810780633 20.15034597170919 20.304166401919456 20.396748958028336 22.24901538963329 22.343039802171766 23.401174207439936 23.7141124823313 24.15187725928168 24.80069225086714 26.1071882483266 
0.0 0.125 0.0 -11.818695664442881 -9.156628537098188 -8.949935798044978 -8.934767268020089 -5.6717842972615955 -5.5598792607882315 -2.487701174610288 -2.266583303298776 -2.2592914739039585 -1.6510320112427215 0.685426355112532 1.1077736685747914 1.4817842827394405 1.673847478193425 2.8868988423912736 2.9391876206294096 4.180302654047071 4.295536761404433 4.443937795745337 4.967760014846495 5.005604625524799 5.018025817423536 9.130307671015998 9.479612496950251 9.649083057925484 11.645666163407334 12.270923898872296 13.692623321464474 14.11836898639339 14.23324811740679 14.36899611831407 16.203881435428823 17.224756996905857 17.324046552872055 17.494420850354754 17.874079791310674 17.917495637886468 18.238235659053657 19.963763792407025 20.313002668039566 20.427828095876837 22.110833414709017 22.427344418216162 23.16446700334805 23.676589421603037 24.445806127297374 24.676129948662584 25.871121681496234 
0.0 0.1875 0.0 -11.727053773499653 -9.37682191211763 -8.943651838882614 -8.921510267414355 -5.568721435020437 -5.349421163657646 -2.6083297938186787 -2.564572699282922 -2.411541792354385 -1.505422337165502 0.5382244559048434 0.9595163173320651 1.3027572090959139 1.8251993897237546 2.9798871138287555 3.4127923627131587 4.2408557305895975 4.489647419396612 4.581037535762464 4.999988045400315 5.000009101779889 5.106850137448941 8.843513766295565 9.607560952570081 9.844429666543224 11.051498512180698 12.27868021466291 13.43086738424095 14.063244052621517 14.269146313785196 14.84908141540515 16.509058935119693 17.10482735375937 17.239817417240687 17.489206477412864 17.726446778686086 17.75419306406266 18.288587972020576 19.75622067672838 20.31018258975956 20.372246096820323 21.874285827483117 22.40451207888004 22.957854633966488 23.49368439684186 24.291347965289976 25.23949649409804 25.732063045065743 
0.0 0.25 0.0 -11.59996088126122 -9.642747201911346 -8.935017753004391 -8.906849959403646 -5.426244575846688 -5.100516863654734 -2.9087121444024193 -2.7732375408713232 -2.541343086763814 -1.3709234903208896 0.4116757436945855 0.7990994135070514 0.9694536876477123 2.247297448950308 3.0499190983390085 3.937709465646366 4.243972517938775 4.459491783297196 4.623024676931849 5.051789134413429 5.051914988574391 5.518820098356835 8.530489904621763 9.789032994852953 10.069681670211883 10.37679029329698 12.297710050353166 13.079534571774555 13.883114987533322 14.235749160524826 15.425509907538988 16.912447344114682 17.02643000313383 17.171631011869525 17.46406027422402 17.531601465499136 17.691106210643376 18.35625205512413 19.55638602541559 20.227607485916764 20.249297852547095 21.622526787332724 22.11207757189532 22.768999794796276 23.154715097138123 24.50938631560557 25.711531263764474 25.731615886588575 
0.0 0.3125 0.0 -11.439052084914067 -9.92934782274788 -8.925406959976952 -8.891977575256966 -5.246033493345851 -4.837416999879185 -3.2548234872918487 -2.974456688278182 -2.6502441372988748 -1.250646236952503 0.32709288016633 0.6456601878073412 0.688883096285731 2.7027340746191633 3.1311041588170485 4.196511640838134 4.266078404602062 4.4729190464053135 4.597848466018942 5.1490263652071375 5.232837039988233 5.972109972322013 8.239071336461079 9.688362980139159 10.01613524949722 10.304164652436778 12.337468092255582 12.64403109563615 13.613488943538533 14.129186397206176 16.053507844405246 17.01022810534795 17.077141464964217 17.380655065698285 17.44976320774616 17.45547729953769 17.677061906385035 18.451625022010212 19.37880452851571 19.992201249743903 20.025701273158248 21.48524290099777 21.569724137964734 22.608263472179544 22.83580147205726 24.90643885263421 25.835624501922315 25.931596659142297 
0.0 0.375 0.0 -11.246098388150966 -10.220848342169239 -8.917243473046542 -8.880211233835457 -5.034958206180399 -4.597090227521927 -3.562450617073709 -3.202536991407668 -2.7331298298371243 -1.1504011656549005 0.2862451591044315 0.4715258804372626 0.5117114128109301 3.159685231709525 3.2304685207528916 4.065893282710632 4.135763775205467 4.464472305237229 4.974394594038505 5.251576943391571 5.441752124358563 6.367527929074349 8.016423022132107 9.029211484037134 10.290223984929261 10.52280707674321 12.15734109535307 12.414280261059364 13.299815156562717 13.979771095029143 16.642445523556024 17.03162748199076 17.051669500428478 17.345562962925666 17.48404246647701 17.679387960919684 18.01999140801724 18.582480422208818 19.23267040251715 19.599067726181833 19.69152422670116 20.89690496416327 21.532564300848275 22.490293975094968 22.53841084871129 25.356007318896417 25.796878166097923 26.074123972703568 
0.0 0.4375 0.0 -11.02346402791183 -10.505429424798102 -8.909984247031005 -8.87134943196747 -4.800301649138219 -4.470126422175379 -3.7350262661842244 -3.4410712843744364 -2.7836248689112524 -1.0795948438170986 0.2895398766979262 0.3337164381287975 0.40582236738785643 3.3419803112961946 3.5889244651112 3.8904235046107383 4.089824586188379 4.250945200498586 5.326970832531972 5.378364015724687 5.594912409842065 6.64140849456871 7.9338727381361895 8.466588498844196 10.604269584623976 10.68584126926289 11.684553559516921 12.545414553979217 12.998492976980263 13.850112262999783 16.928925819856556 16.996576073300233 17.11321840719866 17.53089484237481 17.679533087789256 17.68532643734626 18.56104577261991 18.760758399445358 19.135567266063614 19.142839503314914 19.379410580697424 20.18275871793031 21.7155229270662 22.251064741998515 22.426175643780372 25.596075033446493 25.775930535179445 26.193631099331014 
0.0 0.5 0.0 -10.775145337753248 -10.775143940475866 -8.909256701477384 -8.868965347773212 -4.576137403775002 -4.576128867175324 -3.65674078443809 -3.656739216726014 -2.8019273537715232 -1.054990918154047 0.2844789965272024 0.3290870857328074 0.3291664175499409 3.4025638528375275 3.8041564905274488 3.9561834622911025 3.9562508987824194 4.072684907049058 5.353539203675386 5.592069491559644 5.592145186858793 6.738768425030504 8.07426088346724 8.074288580718637 10.744436474072776 10.819682541775698 11.404478905263026 12.739021385921708 12.739060786763195 13.796638898942197 16.970783231101812 16.97086018224897 17.137452724189703 17.55248849072372 17.685100872537646 18.271220904333415 18.27129598895653 18.912449006996066 19.107137920709263 19.176247294585487 19.48489435228445 19.48491313385064 21.965908900814178 21.965963633601394 22.400908976917062 25.50382064299283 26.074427738603312 26.07470097497242 
0.0625 0.5 0.0 -10.760720406130986 -10.759754511952885 -8.929487671111554 -8.888047337887581 -4.577251878175007 -4.5641703163599585 -3.725908995589024 -3.6646005850256658 -2.755359952601158 -1.1055072980600569 0.14729028362624136 0.4320151238406017 0.47674360073876426 3.4376648430237804 3.6495936799771767 3.7419677736964614 4.085787371585802 4.249928675288919 5.277003835024626 5.5993948640183335 5.677574084953866 6.6989689782097575 8.130901192610393 8.158245881559012 10.759729785113311 10.828184245996345 11.354179653212864 12.667535309475301 12.768285496674928 13.786993368550641 16.91926827000531 16.97243070948075 17.09703435923844 17.457182882939094 17.54432571148346 18.244793701768206 18.246796537606233 18.972745438227882 19.162511028026383 19.164236287940838 19.53195683920744 19.57237863290336 21.986903730324446 22.055594596785852 22.333169065199584 25.46908603799181 25.96142592223861 26.160665374732996 
